T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
7727	106	89	6500.	560.	1	3640.	281014	1212	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7728	106	89	6500.	490.	1	3185.	281014	1517	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7729	106	77	6100.	485.	1	2959.	281014	1702	0000000000	0000000000	51	6100.	6100.	28000770000001	0808455350494E415A4F00000000000000000000000000000000000000000000000000000000000000000000000000000000
7730	106	71	12200.	530.	1	6466.	281014	1702	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
7731	106	2	21200.	1025.	1	21730.	281014	1716	0000000000	0000000000	51	21200.	21200.	28000020000001	080E534F4C4F4D4F205245444F4E444F00000000000000000000000000000000000000000000000000000000000000000000
7732	106	8	13900.	1025.	1	14248.	281014	1740	0000000000	0000000000	51	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
7733	106	5	13900.	710.	1	9869.	281014	1741	0000000000	0000000000	51	13900.	13900.	28000050000001	0805504F53544100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7734	106	72	11200.	520.	1	5824.	281014	1745	0000000000	0000000000	51	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
7735	106	89	6500.	1120.	1	7280.	281014	1828	0000000000	0000000000	51	6500.	6500.	28000890000001	070C414C4153205155414C495459000000000000000000000000000000000000000000000000000000000000000000000000
7736	106	70	14700.	1045.	1	15362.	281014	1911	0000000000	0000000000	51	14700.	14700.	28000700000001	08054341D14F4E00000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7737	106	71	12200.	970.	1	11834.	301014	1054	0000000000	0000000000	51	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
