T_PLU_Trans_No	T_PLU_Trans_Size	T_PLU_Trans_PLUNo	T_PLU_Trans_UP	T_PLU_Trans_WT	T_PLU_Trans_QTY	T_PLU_Trans_TP	T_PLU_Trans_Date	T_PLU_Trans_Time	Traceability_Code	T_PLU_Trans_Reserve	Scale_No	Before_Price	After_Price	Item_Code	Item_Name
9531	106	79	6200.	2750.	1	17050.	090814	2020	0000000000	0000000000	52	6200.	6200.	28000790000001	080E50455A554E41204341524E55444100000000000000000000000000000000000000000000000000000000000000000000
9532	106	9	12500.	1600.	1	20000.	090814	2024	0000000000	0000000000	52	12500.	12500.	28000090000001	080850414C455445524F00000000000000000000000000000000000000000000000000000000000000000000000000000000
9533	106	3	20100.	930.	1	18693.	090814	2036	0000000000	0000000000	52	20100.	20100.	28000030000001	080D50554E544120444520414E43410000000000000000000000000000000000000000000000000000000000000000000000
9534	106	72	11200.	555.	1	6216.	090814	2042	0000000000	0000000000	52	11200.	11200.	28000720000001	0810504945524E412045434F4E4F4D4943410000000000000000000000000000000000000000000000000000000000000000
9535	106	73	12700.	865.	1	10986.	100814	0856	0000000000	0000000000	52	12700.	12700.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
9536	106	73	12700.	865.	1	10986.	100814	0856	0000000000	0000000000	52	12700.	12700.	28000730000001	0811434F5354494C4C4120444520434552444F00000000000000000000000000000000000000000000000000000000000000
9537	106	71	12200.	510.	1	6222.	100814	0859	0000000000	0000000000	52	12200.	12200.	28000710000001	080F504945524E4120444520434552444F000000000000000000000000000000000000000000000000000000000000000000
9538	106	4	13900.	985.	1	13692.	100814	0902	0000000000	0000000000	52	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9539	106	19	11600.	515.	1	5974.	100814	0906	0000000000	0000000000	52	11600.	11600.	28000190000001	080F5441424C4541444F2047525545534F000000000000000000000000000000000000000000000000000000000000000000
9540	106	18	10200.	520.	1	5304.	100814	0907	0000000000	0000000000	52	10200.	10200.	28000180000001	0813534F42524542415252494741204752554553410000000000000000000000000000000000000000000000000000000000
9541	106	24	8700.	1045.	1	9092.	100814	0911	0000000000	0000000000	52	8700.	8700.	28000240000001	08105441504120444520434F5354494C4C410000000000000000000000000000000000000000000000000000000000000000
9542	106	4	13900.	1525.	1	21198.	100814	0913	0000000000	0000000000	52	13900.	13900.	28000040000001	08055441424C4100000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9543	106	74	10700.	995.	1	10647.	100814	0918	0000000000	0000000000	52	10700.	10700.	28000740000001	080C544F43494E4F204341524E45000000000000000000000000000000000000000000000000000000000000000000000000
9544	106	8	13900.	4220.	1	58658.	100814	0944	0000000000	0000000000	52	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
9545	106	8	13900.	4225.	1	58728.	100814	0944	0000000000	0000000000	52	13900.	13900.	28000080000001	0811534F4C4F4D4F2045585452414E4A45524F00000000000000000000000000000000000000000000000000000000000000
