idVenta;fecha;pesoVenta;plu_idPlu;puntoVenta_idPuntoVenta
7862;2014-11-01 00:00:00;1570;89;51
7863;2014-11-01 00:00:00;870;87;51
7864;2014-11-01 00:00:00;1015;89;51
7865;2014-11-01 00:00:00;2750;86;51
7866;2014-11-01 00:00:00;1675;87;51
7867;2014-11-01 00:00:00;820;87;51
7868;2014-11-01 00:00:00;1810;86;51
7869;2014-11-01 00:00:00;1510;87;51
7870;2014-11-01 00:00:00;3030;70;51
7871;2014-11-01 00:00:00;620;89;51
7872;2014-11-01 00:00:00;1005;86;51
7873;2014-11-01 00:00:00;1510;86;51
7874;2014-11-01 00:00:00;480;86;51
7875;2014-11-01 00:00:00;560;89;51
7876;2014-11-01 00:00:00;820;87;51
7877;2014-11-01 00:00:00;2085;89;51
7878;2014-11-01 00:00:00;410;48;51
7879;2014-11-01 00:00:00;850;87;51
7880;2014-11-01 00:00:00;640;89;51
7881;2014-11-01 00:00:00;2585;86;51
7882;2014-11-01 00:00:00;920;87;51
7883;2014-11-01 00:00:00;510;89;51
7884;2014-11-01 00:00:00;785;87;51
7885;2014-11-02 00:00:00;2605;86;51
7886;2014-11-02 00:00:00;1025;86;51
7887;2014-11-02 00:00:00;2950;86;51
7888;2014-11-02 00:00:00;1450;86;51
7889;2014-11-02 00:00:00;2940;86;51
7890;2014-11-02 00:00:00;675;89;51
7891;2014-11-02 00:00:00;870;87;51
7892;2014-11-02 00:00:00;845;87;51
7893;2014-11-02 00:00:00;1065;14;51
7894;2014-11-02 00:00:00;495;71;51
7895;2014-11-02 00:00:00;1270;73;51
7896;2014-11-02 00:00:00;535;70;51
7897;2014-11-02 00:00:00;965;86;51
7898;2014-11-02 00:00:00;540;86;51
7899;2014-11-02 00:00:00;1495;87;51
7900;2014-11-02 00:00:00;1555;87;51
7901;2014-11-02 00:00:00;1480;72;51
7902;2014-11-02 00:00:00;1095;89;51
7903;2014-11-02 00:00:00;2125;86;51
7904;2014-11-02 00:00:00;495;71;51
7905;2014-11-02 00:00:00;1890;86;51
7906;2014-11-02 00:00:00;490;29;51
7907;2014-11-02 00:00:00;610;70;51
7908;2014-11-02 00:00:00;490;26;51
7909;2014-11-02 00:00:00;480;71;51
7910;2014-11-02 00:00:00;515;8;51
7911;2014-11-02 00:00:00;990;11;51
7912;2014-11-02 00:00:00;890;86;51
7913;2014-11-02 00:00:00;1025;6;51
7914;2014-11-02 00:00:00;525;86;51
7915;2014-11-02 00:00:00;495;75;51
7916;2014-11-02 00:00:00;1015;86;51
7917;2014-11-02 00:00:00;1530;86;51
7918;2014-11-02 00:00:00;780;71;51
7919;2014-11-02 00:00:00;560;73;51
7920;2014-11-02 00:00:00;755;71;51
7921;2014-11-02 00:00:00;1505;86;51
7922;2014-11-02 00:00:00;810;87;51
7923;2014-11-02 00:00:00;1005;71;51
7924;2014-11-02 00:00:00;490;4;51
7925;2014-11-02 00:00:00;1035;70;51
7926;2014-11-02 00:00:00;930;75;51
7927;2014-11-02 00:00:00;1450;87;51
7928;2014-11-02 00:00:00;780;87;51
7929;2014-11-02 00:00:00;1070;86;51
7930;2014-11-02 00:00:00;1485;86;51
7931;2014-11-02 00:00:00;615;87;51
7932;2014-11-02 00:00:00;825;87;51
7933;2014-11-02 00:00:00;1680;87;51
7934;2014-11-02 00:00:00;490;89;51
7935;2014-11-02 00:00:00;400;48;51
7936;2014-11-02 00:00:00;1370;86;51
7937;2014-11-02 00:00:00;2620;86;51
7938;2014-11-02 00:00:00;1600;86;51
7939;2014-11-02 00:00:00;1985;86;51
7940;2014-11-02 00:00:00;925;89;51
7941;2014-11-02 00:00:00;630;75;51
7942;2014-11-02 00:00:00;560;27;51
7943;2014-11-02 00:00:00;640;78;51
7944;2014-11-02 00:00:00;1535;12;51
7945;2014-11-02 00:00:00;1425;12;51
7946;2014-11-02 00:00:00;1005;70;51
7947;2014-11-02 00:00:00;1550;70;51
7948;2014-11-02 00:00:00;805;87;51
7949;2014-11-02 00:00:00;850;87;51
7950;2014-11-02 00:00:00;550;89;51
7951;2014-11-02 00:00:00;1515;86;51
7952;2014-11-02 00:00:00;575;86;51
7953;2014-11-03 00:00:00;975;89;51
7954;2014-11-03 00:00:00;1480;86;51
7955;2014-11-03 00:00:00;750;87;51
7956;2014-11-03 00:00:00;505;89;51
7957;2014-11-03 00:00:00;990;86;51
7958;2014-11-03 00:00:00;895;86;51
7959;2014-11-03 00:00:00;870;87;51
7960;2014-11-03 00:00:00;870;89;51
7961;2014-11-03 00:00:00;590;47;51
7962;2014-11-03 00:00:00;580;89;51
7963;2014-11-03 00:00:00;605;89;51
7964;2014-11-03 00:00:00;890;89;51
7965;2014-11-03 00:00:00;730;89;51
7966;2014-11-03 00:00:00;545;89;51
7967;2014-11-03 00:00:00;965;89;51
7968;2014-11-03 00:00:00;360;89;51
7969;2014-11-03 00:00:00;990;89;51
7970;2014-11-03 00:00:00;515;89;51
7971;2014-11-04 00:00:00;415;48;51
7972;2014-11-05 00:00:00;410;48;51
7973;2014-11-05 00:00:00;510;8;51
7974;2014-11-05 00:00:00;485;16;51
7975;2014-11-05 00:00:00;495;74;51
7976;2014-11-05 00:00:00;490;71;51
7977;2014-11-05 00:00:00;1025;71;51
7978;2014-11-05 00:00:00;1540;73;51
7979;2014-11-05 00:00:00;1010;11;51
7980;2014-11-05 00:00:00;1010;12;51
7981;2014-11-05 00:00:00;505;78;51
7982;2014-11-05 00:00:00;1015;72;51
7983;2014-11-05 00:00:00;795;75;51
7984;2014-11-05 00:00:00;510;72;51
7985;2014-11-05 00:00:00;550;23;51
7986;2014-11-05 00:00:00;530;77;51
7987;2014-11-05 00:00:00;530;70;51
7988;2014-11-05 00:00:00;510;24;51
7989;2014-11-05 00:00:00;730;72;51
7990;2014-11-05 00:00:00;1075;8;51
7991;2014-11-05 00:00:00;1010;70;51
7992;2014-11-05 00:00:00;1030;14;51
7993;2014-11-05 00:00:00;1045;5;51
7994;2014-11-05 00:00:00;440;78;51
7995;2014-11-05 00:00:00;820;48;51
7996;2014-11-06 00:00:00;400;48;51
7997;2014-11-06 00:00:00;2515;72;51
7998;2014-11-06 00:00:00;400;48;51
7999;2014-11-07 00:00:00;1035;74;51
8000;2014-11-07 00:00:00;545;74;51
8001;2014-11-07 00:00:00;3730;70;51
8002;2014-11-07 00:00:00;405;48;51
8003;2014-11-08 00:00:00;525;11;51
8004;2014-11-08 00:00:00;275;89;51
8005;2014-11-08 00:00:00;970;87;51
8006;2014-11-08 00:00:00;1550;3;51
8007;2014-11-08 00:00:00;1375;86;51
8008;2014-11-08 00:00:00;745;71;51
8009;2014-11-08 00:00:00;3180;89;51
8010;2014-11-08 00:00:00;505;71;51
8011;2014-11-08 00:00:00;1890;87;51
8012;2014-11-08 00:00:00;1090;86;51
8013;2014-11-08 00:00:00;990;75;51
8014;2014-11-08 00:00:00;535;70;51
8015;2014-11-08 00:00:00;660;70;51
8016;2014-11-08 00:00:00;480;7;51
8017;2014-11-08 00:00:00;410;48;51
8018;2014-11-08 00:00:00;480;75;51
8019;2014-11-08 00:00:00;550;27;51
8020;2014-11-08 00:00:00;540;6;51
8021;2014-11-08 00:00:00;290;77;51
8022;2014-11-08 00:00:00;275;73;51
8023;2014-11-08 00:00:00;765;89;51
8024;2014-11-08 00:00:00;980;87;51
8025;2014-11-08 00:00:00;675;87;51
8026;2014-11-08 00:00:00;780;70;51
8027;2014-11-08 00:00:00;740;73;51
8028;2014-11-08 00:00:00;810;71;51
8029;2014-11-08 00:00:00;2140;86;51
8030;2014-11-08 00:00:00;2580;86;51
8031;2014-11-08 00:00:00;6190;87;51
8032;2014-11-08 00:00:00;715;89;51
8033;2014-11-08 00:00:00;995;71;51
8034;2014-11-08 00:00:00;595;29;51
8035;2014-11-08 00:00:00;870;87;51
8036;2014-11-08 00:00:00;1040;86;51
8037;2014-11-08 00:00:00;520;71;51
8038;2014-11-08 00:00:00;540;89;51
8039;2014-11-08 00:00:00;630;87;51
8040;2014-11-08 00:00:00;6900;4;51
8041;2014-11-08 00:00:00;1845;87;51
8042;2014-11-08 00:00:00;1020;71;51
8043;2014-11-08 00:00:00;530;89;51
8044;2014-11-08 00:00:00;615;87;51
8045;2014-11-08 00:00:00;485;71;51
8046;2014-11-08 00:00:00;485;72;51
8047;2014-11-08 00:00:00;485;75;51
8048;2014-11-08 00:00:00;760;7;51
8049;2014-11-08 00:00:00;2525;86;51
8050;2014-11-08 00:00:00;710;75;51
8051;2014-11-08 00:00:00;405;48;51
8052;2014-11-08 00:00:00;935;89;51
8053;2014-11-08 00:00:00;895;87;51
